1th: 488        %: 93.84615384615384
2th: 475        %: 91.34615384615384
3th: 474        %: 91.15384615384615
4th: 472        %: 90.76923076923077
5th: 469        %: 90.1923076923077
6th: 464        %: 89.23076923076924
7th: 463        %: 89.03846153846153
8th: 461        %: 88.65384615384615
9th: 459        %: 88.26923076923077
10th: 456        %: 87.6923076923077
11th: 455        %: 87.5
12th: 452        %: 86.92307692307692
13th: 449        %: 86.34615384615385
14th: 447        %: 85.96153846153847
15th: 446        %: 85.76923076923076
16th: 445        %: 85.57692307692307
17th: 444        %: 85.38461538461539
18th: 441        %: 84.8076923076923
19th: 440        %: 84.61538461538461
20th: 439        %: 84.42307692307692
21th: 437        %: 84.03846153846153
22th: 436        %: 83.84615384615385
23th: 435        %: 83.65384615384616
24th: 433        %: 83.26923076923077
25th: 431        %: 82.88461538461539
26th: 430        %: 82.6923076923077
27th: 429        %: 82.5
28th: 428        %: 82.3076923076923
29th: 427        %: 82.11538461538461
30th: 425        %: 81.73076923076923
31th: 424        %: 81.53846153846153
32th: 423        %: 81.34615384615384
33th: 421        %: 80.96153846153847
34th: 420        %: 80.76923076923077
35th: 419        %: 80.57692307692308
36th: 418        %: 80.38461538461539
37th: 417        %: 80.1923076923077
38th: 415        %: 79.8076923076923
39th: 414        %: 79.61538461538461
40th: 413        %: 79.42307692307692
41th: 412        %: 79.23076923076923
42th: 410        %: 78.84615384615384
43th: 408        %: 78.46153846153847
44th: 407        %: 78.26923076923077
45th: 406        %: 78.07692307692308
46th: 405        %: 77.88461538461539
47th: 403        %: 77.5
48th: 400        %: 76.92307692307693
49th: 399        %: 76.73076923076924
50th: 395        %: 75.96153846153845
51th: 393        %: 75.57692307692308
52th: 392        %: 75.38461538461539
53th: 391        %: 75.1923076923077
54th: 390        %: 75.0
55th: 389        %: 74.8076923076923
56th: 388        %: 74.61538461538461
57th: 387        %: 74.42307692307692
58th: 386        %: 74.23076923076923
59th: 385        %: 74.03846153846155
60th: 384        %: 73.84615384615385
61th: 383        %: 73.65384615384616
62th: 382        %: 73.46153846153847
63th: 379        %: 72.88461538461539
64th: 378        %: 72.6923076923077
65th: 377        %: 72.5
66th: 374        %: 71.92307692307692
67th: 369        %: 70.96153846153847
68th: 368        %: 70.76923076923077
69th: 367        %: 70.57692307692308
70th: 366        %: 70.38461538461539
71th: 363        %: 69.8076923076923
72th: 361        %: 69.42307692307692
73th: 359        %: 69.03846153846153
74th: 356        %: 68.46153846153847
75th: 350        %: 67.3076923076923
76th: 348        %: 66.92307692307692
77th: 346        %: 66.53846153846153
78th: 340        %: 65.38461538461539
79th: 339        %: 65.1923076923077
80th: 334        %: 64.23076923076924
81th: 333        %: 64.03846153846153
82th: 329        %: 63.26923076923077
83th: 323        %: 62.11538461538461
84th: 320        %: 61.53846153846154
85th: 312        %: 60.0
86th: 308        %: 59.23076923076923
87th: 305        %: 58.65384615384615
88th: 303        %: 58.269230769230774
89th: 299        %: 57.49999999999999
90th: 296        %: 56.92307692307692
91th: 285        %: 54.807692307692314
92th: 278        %: 53.46153846153846
